,Title,Published_date,Views,Likes,Comments,Month
0,1 more sleep 🇺🇦 - Maria and Vitalij get married tomorrow!,2022-11-13,542,13,0,Nov
1,The MOST UNUSUAL Wedding Venues In The UK (You WON'T Want To Miss These!),2022-06-27,737,5,1,Jun
2,The BEST UK Wedding Venues For INTIMATE Weddings (+ How To Make *ANY* Venue Feel Intimate),2022-06-13,614,6,1,Jun
3,"You MUST See These LUXURY UK Wedding Venues | Stately Homes, Private Members' Clubs + More!",2022-05-30,599,4,1,May
4,The MOST ROMANTIC Wedding Venues In The UK (+ Romantic Wedding Ideas!),2022-05-16,1900,24,8,May
5,How To Have A Stress Free Wedding | Practical Tips & Mistakes to Avoid,2022-04-04,588,13,4,Apr
6,"How To Plan A Wedding On A Budget | Wedding Advice, Wedding DIYs & Money Saving Tips",2022-03-28,629,24,8,Mar
7,Questions to Ask Your Wedding Venue | WATCH THIS BEFORE BOOKING YOUR WEDDING VENUE,2022-03-21,2004,24,8,Mar
8,"Top 5 *FREE* DIY Wedding Planning Tools: Best Wedding Checklists, Apps & More",2022-03-14,971,21,6,Mar
9,Avoid These Wedding Planning MISTAKES | How to Plan a Wedding the Right Way,2022-03-07,3393,50,8,Mar
10,The Ultimate Guide to Finding Your Dream Wedding Venue | How to Plan a Wedding,2022-02-28,777,18,6,Feb
11,How to Break Down Your Wedding Budget |  Expert Advice & Money Saving Tips,2022-02-21,1624,33,12,Feb
12,"How to Kickstart Your Wedding Planning in 5 Steps | Expert Tips on Budgets, Venues & More",2022-02-14,1384,47,10,Feb
13,Weddings are back 🎉,2021-08-04,144,3,0,Aug
14,Bridebook - Your Wedding Planning App,2019-01-07,393276,9,1,Jan
15,"Bridebook.co.uk CEO, Hamish Shephard - on ITV News",2018-05-21,438,1,0,May
16,Hamish Shephard - Bridebook.co.uk's CEO - on Sky News,2018-05-21,267,1,0,May
17,Hamish Shephard on BBC News LIVE,2018-05-21,171,1,0,May
18,Bridebook.co.uk's Founder Hamish Shephard LIVE on E!News for The Royal Wedding,2018-05-21,681,10,0,May
19,"Hamish Shephard, CEO of Bridebook.co.uk on BBC World News",2018-05-17,2333,7,0,May
